"District","Year","Grade","grade","DisCode","Subject","ME_n","ME_per","E_n","E_per","M_n","M_per","PM_n","PM_per","NM_n","NM_per","n_included","mean_SS","SGP","n_included_SGP"
"Abby Kelley Foster Charter Public (District)",2017,38,"Grades 3-8","04450000","ELA",307,42,23,3,284,39,362,50,55,8,724,496.2,55,587
"Abby Kelley Foster Charter Public (District)",2017,38,"Grades 3-8","04450000","MATH",255,35,16,2,239,33,405,56,64,9,724,494,48,587
"Abington",2017,38,"Grades 3-8","00010000","ELA",515,53,56,6,459,47,393,40,63,6,971,500.4,55,777
"Abington",2017,38,"Grades 3-8","00010000","MATH",461,47,58,6,403,41,441,45,71,7,973,499.1,63,776
"Academy Of the Pacific Rim Charter Public (District)",2017,38,"Grades 3-8","04120000","ELA",110,35,13,4,97,31,157,50,44,14,311,493.6,45,289
"Academy Of the Pacific Rim Charter Public (District)",2017,38,"Grades 3-8","04120000","MATH",88,28,4,1,84,27,186,60,37,12,311,490.6,38,289
"Acton-Boxborough",2017,38,"Grades 3-8","06000000","ELA",1835,71,372,14,1463,56,680,26,81,3,2596,509.9,61,2062
"Acton-Boxborough",2017,38,"Grades 3-8","06000000","MATH",1942,75,642,25,1300,50,554,21,105,4,2601,514.4,68,2070
"Acushnet",2017,38,"Grades 3-8","00030000","ELA",252,40,10,2,242,38,335,53,44,7,631,495.4,35,491
"Acushnet",2017,38,"Grades 3-8","00030000","MATH",301,48,28,4,273,43,279,44,52,8,632,498.3,45,486
"Advanced Math and Science Academy Charter (District)",2017,38,"Grades 3-8","04300000","ELA",350,75,63,14,287,62,110,24,6,1,466,511.7,62,410
"Advanced Math and Science Academy Charter (District)",2017,38,"Grades 3-8","04300000","MATH",345,74,94,20,251,54,118,25,6,1,469,512.9,59,413
"Agawam",2017,38,"Grades 3-8","00050000","ELA",802,46,59,3,743,43,788,45,155,9,1745,496.9,45,1360
"Agawam",2017,38,"Grades 3-8","00050000","MATH",921,53,100,6,821,47,683,39,142,8,1746,500.2,51,1362
"Alma del Mar Charter School (District)",2017,38,"Grades 3-8","04090000","ELA",92,45,7,3,85,42,103,50,9,4,204,499.7,56,157
"Alma del Mar Charter School (District)",2017,38,"Grades 3-8","04090000","MATH",109,54,4,2,105,52,84,42,9,4,202,500.6,59,155
"Amesbury",2017,38,"Grades 3-8","00070000","ELA",505,50,62,6,443,44,423,42,83,8,1011,499.8,47,793
"Amesbury",2017,38,"Grades 3-8","00070000","MATH",463,46,67,7,396,39,428,42,120,12,1011,498.1,54,788
"Amherst",2017,38,"Grades 3-8","00080000","ELA",294,47,63,10,231,37,256,41,69,11,619,499,55,404
"Amherst",2017,38,"Grades 3-8","00080000","MATH",290,48,52,9,238,39,220,36,98,16,608,497.5,50,397
"Amherst-Pelham",2017,38,"Grades 3-8","06050000","ELA",244,61,59,15,185,46,120,30,37,9,401,505.1,54,351
"Amherst-Pelham",2017,38,"Grades 3-8","06050000","MATH",227,57,51,13,176,45,133,34,35,9,395,504.8,47,343
"Andover",2017,38,"Grades 3-8","00090000","ELA",1885,64,317,11,1568,54,926,32,118,4,2929,506.4,43,2339
"Andover",2017,38,"Grades 3-8","00090000","MATH",1794,61,405,14,1389,47,998,34,140,5,2932,507,47,2335
"Argosy Collegiate Charter School (District)",2017,38,"Grades 3-8","35090000","ELA",97,32,3,1,94,31,152,50,55,18,304,489.1,42,289
"Argosy Collegiate Charter School (District)",2017,38,"Grades 3-8","35090000","MATH",81,27,1,0,80,26,179,59,42,14,302,488.1,35,287
"Arlington",2017,38,"Grades 3-8","00100000","ELA",1783,68,379,15,1404,54,717,28,106,4,2606,509.3,56,1986
"Arlington",2017,38,"Grades 3-8","00100000","MATH",1682,64,317,12,1365,52,801,31,127,5,2610,507.2,54,1981
"Ashburnham-Westminster",2017,38,"Grades 3-8","06100000","ELA",563,51,33,3,530,48,496,45,51,5,1110,499.2,47,895
"Ashburnham-Westminster",2017,38,"Grades 3-8","06100000","MATH",557,50,64,6,493,44,494,44,61,5,1112,500.9,53,894
"Ashland",2017,38,"Grades 3-8","00140000","ELA",704,59,134,11,570,47,428,36,71,6,1203,504.2,53,947
"Ashland",2017,38,"Grades 3-8","00140000","MATH",722,60,152,13,570,47,416,34,68,6,1206,505.4,65,947
"Athol-Royalston",2017,38,"Grades 3-8","06150000","ELA",177,26,15,2,162,24,347,52,147,22,671,487.2,47,513
"Athol-Royalston",2017,38,"Grades 3-8","06150000","MATH",175,26,7,1,168,25,351,52,144,21,670,486.7,46,511
"Atlantis Charter (District)",2017,38,"Grades 3-8","04910000","ELA",285,47,27,4,258,43,286,48,31,5,602,498.6,61.5,486
"Atlantis Charter (District)",2017,38,"Grades 3-8","04910000","MATH",271,45,17,3,254,42,287,48,42,7,600,497.6,53,485
"Attleboro",2017,38,"Grades 3-8","00160000","ELA",1357,50,164,6,1193,44,1123,41,230,8,2710,499.7,47,2069
"Attleboro",2017,38,"Grades 3-8","00160000","MATH",1244,46,147,5,1097,41,1196,44,267,10,2707,498.4,43,2060
"Auburn",2017,38,"Grades 3-8","00170000","ELA",710,61,107,9,603,52,403,35,53,5,1166,504.5,51,935
"Auburn",2017,38,"Grades 3-8","00170000","MATH",633,54,97,8,536,46,466,40,65,6,1164,502.4,47,933
"Avon",2017,38,"Grades 3-8","00180000","ELA",196,56,25,7,171,49,124,36,28,8,348,501.2,46,282
"Avon",2017,38,"Grades 3-8","00180000","MATH",138,40,23,7,115,33,171,49,38,11,347,496.1,39,280
"Ayer Shirley School District",2017,38,"Grades 3-8","06160000","ELA",382,47,53,7,329,41,362,45,62,8,806,498.8,54,613
"Ayer Shirley School District",2017,38,"Grades 3-8","06160000","MATH",350,43,41,5,309,38,363,45,96,12,809,495.6,50,612
"Barnstable",2017,38,"Grades 3-8","00200000","ELA",1003,43,116,5,887,38,1015,44,294,13,2312,496.2,40,1740
"Barnstable",2017,38,"Grades 3-8","00200000","MATH",1002,43,112,5,890,39,1028,44,281,12,2311,496.5,44.5,1728
"Barnstable Community Horace Mann Charter Public (District)",2017,38,"Grades 3-8","04270000","ELA",35,58,4,7,31,52,23,38,2,3,60,503.5,NA,NA
"Barnstable Community Horace Mann Charter Public (District)",2017,38,"Grades 3-8","04270000","MATH",41,68,5,8,36,60,16,27,3,5,60,504.7,NA,NA
"Baystate Academy Charter Public School (District)",2017,38,"Grades 3-8","35020000","ELA",75,31,6,3,69,29,132,55,32,13,239,491.5,63.5,226
"Baystate Academy Charter Public School (District)",2017,38,"Grades 3-8","35020000","MATH",52,22,3,1,49,21,156,66,28,12,236,489.3,49,223
"Bedford",2017,38,"Grades 3-8","00230000","ELA",741,65,156,14,585,51,340,30,55,5,1136,507.3,47.5,876
"Bedford",2017,38,"Grades 3-8","00230000","MATH",762,67,190,17,572,50,309,27,65,6,1136,508.9,54,877
"Belchertown",2017,38,"Grades 3-8","00240000","ELA",537,47,63,5,474,41,512,45,97,8,1146,498.3,43,921
"Belchertown",2017,38,"Grades 3-8","00240000","MATH",474,41,37,3,437,38,548,48,128,11,1150,495.7,46,916
"Bellingham",2017,38,"Grades 3-8","00250000","ELA",491,45,57,5,434,40,512,47,84,8,1087,498.1,52,858
"Bellingham",2017,38,"Grades 3-8","00250000","MATH",528,49,62,6,466,43,468,43,90,8,1086,498.9,59,855
"Belmont",2017,38,"Grades 3-8","00260000","ELA",1559,75,381,18,1178,57,456,22,61,3,2076,512.3,53,1587
"Belmont",2017,38,"Grades 3-8","00260000","MATH",1614,78,532,26,1082,52,401,19,61,3,2076,516,55,1580
"Benjamin Banneker Charter Public (District)",2017,38,"Grades 3-8","04200000","ELA",133,73,28,15,105,58,37,20,12,7,182,509,71,131
"Benjamin Banneker Charter Public (District)",2017,38,"Grades 3-8","04200000","MATH",118,65,24,13,94,52,52,29,12,7,182,506.4,59,131
"Benjamin Franklin Classical Charter Public (District)",2017,38,"Grades 3-8","04470000","ELA",233,79,49,17,184,62,53,18,9,3,295,512.3,47,234
"Benjamin Franklin Classical Charter Public (District)",2017,38,"Grades 3-8","04470000","MATH",223,76,57,19,166,57,62,21,8,3,293,512.9,49,233
"Bentley Academy Charter School (District)",2017,38,"Grades 3-8","35110000","ELA",37,34,2,2,35,32,64,59,7,6,108,492.4,47.5,68
"Bentley Academy Charter School (District)",2017,38,"Grades 3-8","35110000","MATH",42,39,1,1,41,38,56,52,10,9,108,495.4,66,67
"Berkley",2017,38,"Grades 3-8","00270000","ELA",319,53,48,8,271,45,249,42,31,5,599,501.6,55,467
"Berkley",2017,38,"Grades 3-8","00270000","MATH",329,55,33,6,296,49,236,39,33,6,598,501.3,61,467
"Berkshire Arts and Technology Charter Public (District)",2017,38,"Grades 3-8","04140000","ELA",96,49,13,7,83,42,86,44,15,8,197,499.6,53,179
"Berkshire Arts and Technology Charter Public (District)",2017,38,"Grades 3-8","04140000","MATH",94,48,12,6,82,42,83,43,18,9,195,500.3,48,175
"Berkshire Hills",2017,38,"Grades 3-8","06180000","ELA",202,42,25,5,177,37,227,47,53,11,482,495.4,35,379
"Berkshire Hills",2017,38,"Grades 3-8","06180000","MATH",159,33,15,3,144,30,257,53,68,14,484,492.3,38,378
"Berlin (non-op)",2017,38,"Grades 3-8","00280000","ELA",53,58,7,8,46,50,32,35,7,8,92,501.8,47,61
"Berlin (non-op)",2017,38,"Grades 3-8","00280000","MATH",56,61,8,9,48,52,26,28,10,11,92,501.3,59,61
"Berlin-Boylston",2017,38,"Grades 3-8","06200000","ELA",163,60,10,4,153,57,100,37,7,3,270,501.4,44,257
"Berlin-Boylston",2017,38,"Grades 3-8","06200000","MATH",154,57,19,7,135,50,108,40,6,2,268,503.6,57,254
"Beverly",2017,38,"Grades 3-8","00300000","ELA",1089,52,142,7,947,45,845,40,154,7,2088,500.6,46,1587
"Beverly",2017,38,"Grades 3-8","00300000","MATH",1042,50,112,5,930,45,848,41,195,9,2085,499.3,51,1576
"Billerica",2017,38,"Grades 3-8","00310000","ELA",1143,48,123,5,1020,43,1043,44,171,7,2357,498.9,50,1872
"Billerica",2017,38,"Grades 3-8","00310000","MATH",1183,50,138,6,1045,44,1025,43,150,6,2358,500,52,1871
"Blackstone-Millville",2017,38,"Grades 3-8","06220000","ELA",370,45,44,5,326,39,389,47,70,8,829,497.9,45,645
"Blackstone-Millville",2017,38,"Grades 3-8","06220000","MATH",336,41,29,4,307,37,418,50,74,9,828,495.9,44,637
"Boston",2017,38,"Grades 3-8","00350000","ELA",6564,31,727,3,5837,28,9944,47,4669,22,21177,489.4,46,14546
"Boston",2017,38,"Grades 3-8","00350000","MATH",6508,31,769,4,5739,27,9559,45,5145,24,21212,488.8,41,14437
"Boston Collegiate Charter (District)",2017,38,"Grades 3-8","04490000","ELA",173,47,15,4,158,43,178,48,19,5,370,497.4,47,330
"Boston Collegiate Charter (District)",2017,38,"Grades 3-8","04490000","MATH",176,48,23,6,153,41,176,48,17,5,369,500.2,60,326
"Boston Green Academy Horace Mann Charter School (District)",2017,38,"Grades 3-8","04110000","ELA",50,28,4,2,46,26,97,54,31,17,178,488.3,53,158
"Boston Green Academy Horace Mann Charter School (District)",2017,38,"Grades 3-8","04110000","MATH",16,9,0,0,16,9,107,59,57,32,180,477,26,160
"Boston Preparatory Charter Public (District)",2017,38,"Grades 3-8","04160000","ELA",74,43,6,3,68,39,79,45,21,12,174,494.7,63,147
"Boston Preparatory Charter Public (District)",2017,38,"Grades 3-8","04160000","MATH",74,43,6,3,68,39,87,50,13,7,174,497,50,147
"Boston Renaissance Charter Public (District)",2017,38,"Grades 3-8","04810000","ELA",123,31,5,1,118,29,230,57,50,12,403,490.7,32,280
"Boston Renaissance Charter Public (District)",2017,38,"Grades 3-8","04810000","MATH",139,34,6,1,133,33,210,52,54,13,403,491.7,42,278
"Bourne",2017,38,"Grades 3-8","00360000","ELA",471,46,39,4,432,42,486,47,73,7,1030,498.3,55,795
"Bourne",2017,38,"Grades 3-8","00360000","MATH",427,42,36,4,391,38,498,49,97,9,1022,496.1,58,789
"Boxford",2017,38,"Grades 3-8","00380000","ELA",276,65,16,4,260,61,133,31,18,4,427,504.3,44.5,316
"Boxford",2017,38,"Grades 3-8","00380000","MATH",320,75,41,10,279,65,93,22,16,4,429,509.2,60,317
"Boylston (non-op)",2017,38,"Grades 3-8","00390000","ELA",108,69,10,6,98,62,45,29,4,3,157,506.6,48,108
"Boylston (non-op)",2017,38,"Grades 3-8","00390000","MATH",107,68,13,8,94,60,44,28,6,4,157,506.9,55,108
"Braintree",2017,38,"Grades 3-8","00400000","ELA",1761,63,295,11,1466,53,917,33,103,4,2781,506.2,46,2200
"Braintree",2017,38,"Grades 3-8","00400000","MATH",1631,59,230,8,1401,50,1042,37,107,4,2780,504.6,44,2186
"Brewster",2017,38,"Grades 3-8","00410000","ELA",129,56,13,6,116,50,88,38,15,6,232,500.5,40,141
"Brewster",2017,38,"Grades 3-8","00410000","MATH",120,52,11,5,109,47,96,41,16,7,232,500.9,43.5,142
"Bridge Boston Charter School (District)",2017,38,"Grades 3-8","04170000","ELA",35,31,2,2,33,29,61,54,17,15,113,490.6,28,66
"Bridge Boston Charter School (District)",2017,38,"Grades 3-8","04170000","MATH",34,30,3,3,31,27,59,52,20,18,113,491.7,28,66
