"District","DisCode","Year","enrollment","firstlang_per","ell_per","swd_per","highneeds_per","ecodis_per","black_per","asian_per","hispanic_per","white_per","native_per","hawaiiPI_per","multiNonHispanic_per"
"Abby Kelley Foster Charter Public (District)","04450000",2019,1428,63.7,9.9,12,56.2,37.7,51.3,3.4,22.7,19.7,0.2,0.1,2.5
"Abington","00010000",2019,2056,10.4,5,15.9,35.6,21.8,3.6,2.2,7.5,85.3,0.4,0.1,0.9
"Academy Of the Pacific Rim Charter Public (District)","04120000",2019,526,29.8,11.8,23.8,65,38.2,60.5,1.1,27,8.9,0,0.2,2.3
"Acton-Boxborough","06000000",2019,5571,18.6,4.1,16,27.1,6.2,2.4,33,5.2,54.6,0.2,0.1,4.6
"Acushnet","00030000",2019,1004,1,0.8,14.2,34.8,24.9,0.8,0.4,3.3,92.8,0.1,0,2.6
"Adams-Cheshire","06030000",2019,1161,0.9,0.6,24,57.8,49.4,3.8,0.9,2.9,89.8,0.2,0.1,2.3
"Advanced Math and Science Academy Charter (District)","04300000",2019,974,23.8,4.5,6,22,6.6,1.8,17.4,5.7,67.7,0.3,0,7.1
"Agawam","00050000",2019,3747,10.7,5,16.5,41.8,29,2.2,3.2,8,83.8,0,0,2.7
"Alma del Mar Charter School (District)","04090000",2019,441,42.9,24.3,18.8,78.9,61.9,15.9,0,59,24.3,0.7,0,0.2
"Amesbury","00070000",2019,2058,3.6,1.7,21,36.9,23,1.8,1.2,7.8,85,0.1,0.1,3.9
"Amherst","00080000",2019,1131,30.4,15.9,20.8,49.1,31.7,8.7,14.4,21.4,47,0.3,0,8.2
"Amherst-Pelham","06050000",2019,1340,17.8,6.2,21.7,40.7,24.6,7.5,9.1,16.7,57.9,0.1,0.1,8.6
"Andover","00090000",2019,5957,14.6,3.8,19.9,29.3,7.5,2.2,18.4,6.2,70,0.2,0,3
"Argosy Collegiate Charter School (District)","35090000",2019,466,38.2,34.1,21,73.2,56,10.7,1.7,18.7,63.1,0.2,0,5.6
"Arlington","00100000",2019,5939,12,4.3,15.5,25.9,7.5,3.5,12.9,6.2,71,0.1,0.1,6.2
"Ashburnham-Westminster","06100000",2019,2354,3.6,1.3,18.2,30.7,15.8,0.6,0.9,4.8,91,0,0,2.6
"Ashland","00140000",2019,2845,22.7,5.4,16.5,31.7,13,2.5,14.8,11.7,67.1,0.6,0,3.2
"Assabet Valley Regional Vocational Technical","08010000",2019,1134,15.6,3.8,27.8,49.5,25,1,0.5,16.5,79.1,0.3,0,2.6
"Athol-Royalston","06150000",2019,1453,3.2,2,26,60.4,48.7,1.4,1.4,9.2,84.6,0,0,3.4
"Atlantis Charter (District)","04910000",2019,1294,21.2,10.5,13.8,54.6,41.6,5.6,1.8,10.7,77.9,0.2,0.1,3.8
"Attleboro","00160000",2019,5946,13.6,5.9,16.6,44.6,30.3,6.3,4.7,14.8,67.7,0.2,0.1,6.2
"Auburn","00170000",2019,2628,7.2,3.3,9.8,28.7,18.4,1.8,3.8,8.9,81.9,0.1,0,3.5
"Avon","00180000",2019,728,7,3,15.6,43.4,29.5,30.5,4.8,8.9,49.7,0.3,0,5.8
"Ayer Shirley School District","06160000",2019,1712,8.1,3.7,19.1,40.3,24.9,4,2.9,10.5,75.9,0.8,0.4,5.5
"Barnstable","00200000",2019,4791,19.8,10.1,16.9,49.3,31.9,7.8,1.9,15,69.4,0.4,0.3,5.3
"Barnstable Community Horace Mann Charter Public (District)","04270000",2019,290,46.2,25.2,9.3,59.7,41.7,17.9,3.4,28.6,45.5,0.3,0,4.1
"Baystate Academy Charter Public School (District)","35020000",2019,500,21.4,13,20.2,77.6,69.8,24.6,0.6,68.4,5,0,0.2,1.2
"Bedford","00230000",2019,2658,18.2,6.6,16.6,31,8.7,6.2,17.1,5.8,65.3,0,0.1,5.5
"Belchertown","00240000",2019,2267,1.9,0.9,19.1,32,18,2,1.6,4.5,88.4,0.2,0.2,3.2
"Bellingham","00250000",2019,2223,4.2,1.6,19.3,34.7,19,1.9,2.7,4.5,88.2,0.1,0.4,2.1
"Belmont","00260000",2019,4628,24.3,7.8,10.6,26.8,7.1,3.4,20.1,4.2,65.1,0.1,0.1,7.1
"Benjamin Banneker Charter Public (District)","04200000",2019,354,25.4,5.4,15,55.6,45.5,83.3,0.8,11,2,0.3,0.6,2
"Benjamin Franklin Classical Charter Public (District)","04470000",2019,459,19.4,5.7,12,26.1,7.4,2.4,22.7,3.5,67.1,0,0,4.4
"Bentley Academy Charter School (District)","35110000",2019,339,41.9,23.9,13.9,77.6,67,11.8,2.4,57.5,25.4,0,0,2.9
"Berkley","00270000",2019,888,0.9,0.9,14,28.3,17.2,0.3,0.1,1.7,93.8,0.1,0.1,3.8
"Berkshire Arts and Technology Charter Public (District)","04140000",2019,378,1.6,0.8,23,53.4,41.3,11.9,2.9,9.3,69.8,0.3,0,5.8
"Berkshire Hills","06180000",2019,1203,7.9,3.2,18.3,41.2,29,1.7,2.7,8.7,81.3,0.2,0.2,5.2
"Berlin","00280000",2019,183,8.7,3.3,12.5,26.6,15.3,0.5,2.2,4.4,88.5,0,0,4.4
"Berlin-Boylston","06200000",2019,583,7.4,1.7,18.4,28.3,12.2,2.4,3.6,3.4,87.8,0,0.2,2.6
"Beverly","00300000",2019,4565,8.4,3.6,21,40.6,25.4,3.4,2.4,13.4,77.2,0,0,3.5
"Billerica","00310000",2019,4764,8.5,1.5,17,30.1,15.6,4.5,7.9,6.6,77.7,0.1,0.1,3.1
"Blackstone Valley Regional Vocational Technical","08050000",2019,1230,0.9,0.2,9.5,18.4,9.8,0.9,2,4.4,91.4,0,0,1.4
