"year","district","discode","total_salary","avg_salary","n_FTE"
1997,"Abington","00010000",5694240,39932,142.6
1997,"Acton","00020000",5702250,46817,121.8
1997,"Acton-Boxborough","06000000",5221907,40988,127.4
1997,"Acushnet","00030000",2470651,38010,65
1997,"Adams-Cheshire","06030000",5096381,38033,134
1997,"Agawam","00050000",10998365,41270,266.5
1997,"Amesbury","00070000",7293438,35132,207.6
1997,"Amherst","00080000",5846969,42277,138.3
1997,"Amherst-Pelham","06050000",6084876,43216,140.8
1997,"Andover","00090000",16876982,48386,348.8
1997,"Arlington","00100000",12544878,46104,272.1
1997,"Ashburnham-Westminster","06100000",6108909,36890,165.6
1997,"Ashland","00140000",5544299,40089,138.3
1997,"Assabet Valley Regional Vocational Technical","08010000",4323987,49530,87.3
1997,"Athol-Royalston","06150000",5793542,36645,158.1
1997,"Attleboro","00160000",16068704,41791,384.5
1997,"Auburn","00170000",7217963,45425,158.9
1997,"Avon","00180000",2301423,40376,57
1997,"Ayer","00190000",3480504,30504,114.1
1997,"Barnstable","00200000",19652351,44432,442.3
1997,"Bedford","00230000",6954786,43576,159.6
1997,"Belchertown","00240000",4806513,36166,132.9
1997,"Bellingham","00250000",6886486,42326,162.7
1997,"Belmont","00260000",10789411,49561,217.7
1997,"Berkley","00270000",2047342,40302,50.8
1997,"Berkshire Hills","06180000",5833809,42305,137.9
1997,"Berlin","00280000",652489,32624,20
1997,"Berlin-Boylston","06200000",1358317,39486,34.4
1997,"Beverly","00300000",12633928,42043,300.5
1997,"Billerica","00310000",18149626,35106,517
1997,"Blackstone-Millville","06220000",5950405,40534,146.8
1997,"Blackstone Valley Regional Vocational Technical","08050000",2854539,41370,69
1997,"Blue Hills Regional Vocational Technical","08060000",4144533,50237,82.5
1997,"Boston","00350000",216150797,50857,4250.2
1997,"Bourne","00360000",6106351,41625,146.7
1997,"Boxborough","00370000",1237485,42380,29.2
1997,"Boxford","00380000",2418524,42356,57.1
1997,"Boylston","00390000",956582,46212,20.7
1997,"Braintree","00400000",15694055,46584,336.9
1997,"Brewster","00410000",2077960,37919,54.8
1997,"Bridgewater-Raynham","06250000",14190645,51734,274.3
1997,"Brimfield","00430000",869655,37647,23.1
1997,"Bristol County Agricultural","09100000",1265802,40832,31
1997,"Bristol-Plymouth Regional Vocational Technical","08100000",2864127,39288,72.9
1997,"Brockton","00440000",39043451,46260,844
1997,"Brookfield","00450000",977277,36062,27.1
1997,"Brookline","00460000",21503715,47116,456.4
1997,"Burlington","00480000",12843350,48667,263.9
1997,"Cambridge","00490000",34788609,49726,699.6
1997,"Canton","00500000",8295513,41939,197.8
1997,"Cape Cod Regional Vocational Technical","08150000",2473531,41226,60
1997,"Carlisle","00510000",2348044,47340,49.6
1997,"Carver","00520000",5725701,41641,137.5
1997,"Central Berkshire","06350000",7026077,44724,157.1
1997,"Chatham","00550000",2801523,45553,61.5
1997,"Chelmsford","00560000",15742277,46824,336.2
1997,"Chelsea","00570000",11273357,31578,357
1997,"Chesterfield-Goshen","06320000",467948,35451,13.2
1997,"Chicopee","00610000",20361141,34278,594
1997,"Clarksburg","00630000",574745,37565,15.3
1997,"Clinton","00640000",5460434,38238,142.8
1997,"Cohasset","00650000",3856414,43724,88.2
1997,"Concord","00670000",7065424,55459,127.4
1997,"Concord-Carlisle","06400000",4080256,60181,67.8
1997,"Conway","00680000",538614,38749,13.9
1997,"Danvers","00710000",10769103,44834,240.2
1997,"Dartmouth","00720000",10552998,35460,297.6
1997,"Dedham","00730000",9288847,41974,221.3
1997,"Deerfield","00740000",1229784,41268,29.8
1997,"Dennis-Yarmouth","06450000",12400286,43282,286.5
1997,"Dighton-Rehoboth","06500000",7778552,38622,201.4
1997,"Douglas","00770000",2943726,38733,76
1997,"Dover","00780000",1393259,44090,31.6
1997,"Dover-Sherborn","06550000",3935624,52615,74.8
1997,"Dracut","00790000",9605729,44266,217
1997,"Dudley-Charlton Reg","06580000",9068315,41983,216
1997,"Duxbury","00820000",8710544,48419,179.9
1997,"East Bridgewater","00830000",5724969,44867,127.6
1997,"East Longmeadow","00870000",6514281,38410,169.6
1997,"Eastham","00850000",991724,36327,27.3
1997,"Easthampton","00860000",4976261,39183,127
1997,"Easton","00880000",8988486,42399,212
1997,"Edgartown","00890000",1403822,43733,32.1
1997,"Erving","00910000",581530,38008,15.3
1997,"Essex","00920000",1016660,42897,23.7
1997,"Essex County","09130000",2710543,40456,67
1997,"Everett","00930000",13543217,39370,344
1997,"Fairhaven","00940000",5665059,40235,140.8
1997,"Fall River","00950000",33616220,39089,860
1997,"Falmouth","00960000",13586635,45093,301.3
1997,"Farmington River Reg","06620000",666527,38978,17.1
1997,"Fitchburg","00970000",13793242,38421,359
1997,"Florida","00980000",354157,27669,12.8
1997,"Foxborough","00990000",7760953,44323,175.1
1997,"Framingham","01000000",26813328,37138,722
1997,"Franklin","01010000",12304879,40199,306.1
1997,"Franklin County Regional Vocational Technical","08180000",2235351,39564,56.5
1997,"Freetown","01020000",1025300,37557,27.3
1997,"Freetown-Lakeville","06650000",4897307,41538,117.9
1997,"Frontier","06700000",1828893,38261,47.8
