Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Principal,Heidi Paluk,10 New Bond Street,,Worcester,MA,01606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Principal,Caleb Balderston,1 Westinghouse Plaza,Building B,Hyde Park,MA,02136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Principal,Michael Nawrocki,201 Forest Street,,Marlborough,MA,01752,508-597-2400,508-597-2499,"06,07,08,09,10,11,12"
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,Principal,Will Gardner,515 Belleville Ave,,New Bedford,MA,02746,774-206-6827,774-206-6833,"K,01,02,03,04,05,06,07,08"
Argosy Collegiate Charter School (District): Argosy Collegiate Charter School,35090305,Charter School,Principal,Kristen Pavao,263 Hamlet Street,,Fall River,MA,02724,508-567-4725,774-365-4383,"06,07,08,09,10,11,12"
Atlantis Charter (District): Atlantis Charter School,04910550,Charter School,Principal,Robert Beatty,991 Jefferson St,,Fall River,MA,02721,508-646-6410,508-672-3489,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Baystate Academy Charter Public School (District): Baystate Academy Charter Public School,35020405,Charter School,Principal,Joretha Lewis,2001 Roosevelt Avenue,,Springfield,MA,01104,413-366-5100,413-366-5101,"06,07,08,09,10,11,12"
Benjamin Banneker Charter Public (District): Benjamin Banneker Charter Public School,04200205,Charter School,Principal,Sherley Bretous-Carre,21 Notre Dame Avenue,,Cambridge,MA,02140,617-497-7771,617-497-4223,"PK,K,01,02,03,04,05,06"
Benjamin Franklin Classical Charter Public (District): Benjamin Franklin Classical Charter Public School,04470205,Charter School,Principal,Heather Zolnowski,500 Financial Park,,Franklin,MA,02038,508-541-3434,508-541-5396,"K,01,02,03,04,05,06,07,08"
Berkshire Arts and Technology Charter Public (District): Berkshire Arts and Technology Charter Public School,04140305,Charter School,Principal,Sean Keogh,One Commercial Place,PO Box 267,Adams,MA,01220,413-743-7311,413-743-7327,"06,07,08,09,10,11,12"
Boston Collegiate Charter (District): Boston Collegiate Charter School,04490305,Charter School,Principal,Jenna Ogundipe,11 Mayhew Street,,Dorchester,MA,02125,617-265-1172,617-265-1176,"05,06,07,08,09,10,11,12"
Boston Day and Evening Academy Charter (District): Boston Day and Evening Academy Charter School,04240505,Charter School,Principal,Alison Hramiec,20 Kearsarge Ave,,Roxbury,MA,02119,617-635-6789,617-635-6380,"09,10,11,12"
Boston Green Academy Horace Mann Charter School (District): Boston Green Academy Horace Mann Charter School,04110305,Charter School,Principal,Matthew Holzer,20 Warren St.,,Brighton,MA,02135,617-635-9860,617-635-9858,"06,07,08,09,10,11,12"
Boston Preparatory Charter Public (District): Boston Preparatory Charter Public School,04160305,Charter School,Principal,Eileen Callahan,885 River Street,,Hyde Park,MA,02136,617-333-6688,617-333-6689,"06,07,08,09,10,11,12"
Boston Renaissance Charter Public (District): Boston Renaissance Charter Public School,04810550,Charter School,Principal,Alexandra Banhares-Buckmire,1415 Hyde Park Ave,,Hyde Park,MA,02136,617-357-0900,617-357-0949,"PK,K,01,02,03,04,05,06"
Bridge Boston Charter School (District): Bridge Boston Charter School,04170205,Charter School,Principal,Orin Gutlerner,435 Warren St.,,Roxbury,MA,02119,857-229-1601,617-674-0861,"PK,K,01,02,03,04,05,06,07,08"
